userId,movieId,rating,timestamp
197,1,3.5,1144647633
230,1,5.0,862497914
381,1,5.0,1373422635
402,1,4.5,1285010084
431,1,3.0,1111670920
449,1,4.5,1491786197
683,1,5.0,862763258
791,1,4.5,1515175489
793,1,5.0,1021257480
839,1,4.5,1153162530
856,1,5.0,1448614021
876,1,3.5,1191932207
1096,1,5.0,977508486
1159,1,4.5,1250427907
1185,1,3.0,852807784
1203,1,3.0,1421522199
1320,1,4.0,949358198
1361,1,2.5,1216145696
1468,1,3.5,1080843431
1481,1,2.0,1357831514
1488,1,4.5,1161488994
1555,1,4.5,1234247015
1643,1,4.0,854386774
1785,1,4.0,853936426
1862,1,3.0,945134079
1887,1,5.0,1460045507
2039,1,3.0,1225250232
2122,1,4.0,1224770185
2125,1,2.0,1314709316
2222,1,4.0,1274039675
2262,1,5.0,852806429
2362,1,4.0,947815934
2407,1,5.0,853341849
2565,1,5.0,1534635338
2590,1,2.0,868463751
2715,1,4.0,1127695068
2807,1,3.5,1439774869
2811,1,5.0,1098672038
2821,1,4.5,1455753364
2834,1,4.5,1283366412
2856,1,4.0,1183468144
2878,1,3.0,1072123849
2887,1,5.0,956275670
3120,1,3.0,1436439374
3154,1,3.5,1115903328
3382,1,2.0,1424853112
3497,1,4.0,1100792927
3525,1,3.0,1442150771
3593,1,4.5,1447030703
3616,1,4.0,1069816267
3736,1,0.5,1467057656
3739,1,5.0,940465385
3752,1,3.0,1286393388
3834,1,3.0,847516637
3891,1,4.0,834526447
3921,1,4.0,861875541
3938,1,3.5,1447241179
3965,1,4.5,1541550917
3970,1,3.0,1232197356
4023,1,4.0,1001791930
4051,1,4.0,1099354046
4052,1,3.0,832671483
4105,1,4.5,1117546785
4138,1,4.5,1531678848
4183,1,2.0,1166916791
4260,1,5.0,1001115018
4280,1,2.0,974840447
4359,1,3.0,1502609852
4364,1,4.5,1488041226
4430,1,2.5,1227110546
4753,1,3.0,832425704
4965,1,4.0,859142307
4993,1,3.0,834436343
5050,1,5.0,835734920
5126,1,4.0,988770120
5193,1,3.0,861183619
5254,1,4.0,1471693046
5393,1,4.0,1229157781
5519,1,4.0,1296438827
5666,1,5.0,942159405
5694,1,5.0,1530300084
5703,1,4.0,1232061924
5884,1,5.0,857171273
6102,1,4.5,1137967597
6153,1,4.5,1234618626
6237,1,2.0,1282253640
6252,1,5.0,1496258801
6393,1,5.0,976156300
6416,1,3.0,1160547383
6422,1,4.5,1179161910
6443,1,5.0,890426691
6656,1,4.0,846845582
6735,1,4.0,945058860
6796,1,5.0,945796674
6931,1,4.5,1095663067
6982,1,4.5,1205860728
6995,1,4.0,1442119936
7027,1,3.0,1002693476
7040,1,3.5,1161290102
7135,1,3.0,1094514025
7245,1,2.0,860833330
7260,1,5.0,992114028
